Ticker,RMSE,R2,Samples,Model
AAPL,,,34,Random Forest
AAPL,,,34,XGBoost
AMZN,9.4722,0.1523,713,Random Forest
AMZN,8.1423,0.3736,713,XGBoost
JPM,5.2232,0.5304,741,Random Forest
JPM,4.4169,0.6642,741,XGBoost
MSFT,3.7681,0.4777,741,Random Forest
MSFT,2.9839,0.6724,741,XGBoost
NVDA,20.6502,0.1229,643,Random Forest
NVDA,18.6401,0.2853,643,XGBoost
PG,3.1366,0.4374,97,Random Forest
PG,2.4109,0.6676,97,XGBoost
UNH,4.5841,0.1825,748,Random Forest
UNH,3.8613,0.42,748,XGBoost
V,4.1276,-0.0176,412,Random Forest
V,4.6523,-0.2928,412,XGBoost
WMT,3.2219,0.3969,727,Random Forest
WMT,2.6461,0.5932,727,XGBoost
XOM,7.1122,0.1282,90,Random Forest
XOM,7.592,0.0066,90,XGBoost
