Model,Window,RMSE,R2
Random Forest,1,2.506316808853097,0.41012694321147447
XGBoost,1,2.1442491502785646,0.5682452547291851
Random Forest,3,5.2567942580548985,0.6209363723131047
XGBoost,3,3.369443684970892,0.8442648808952871
Random Forest,5,2.240423461933346,0.5938817833245351
XGBoost,5,1.9659365738871923,0.687297573680733
Random Forest,7,1.3814694892883246,0.8003825539859494
XGBoost,7,1.5660388594366392,0.7434801553932938
Random Forest,9,1.6676268221875636,0.7477890388988965
XGBoost,9,1.7601485153178,0.7190268366975259
